timestamp_unix,nll,alert
1787925980.268348,0.018617,0
1787925981.267944,0.016581,0
1787925982.261488,8.329012,1
1787925983.312135,0.016581,0
1787925984.354266,4.344022,1
1787925985.295662,5.738519,1
1787925986.376209,11.141555,1
1787925987.361401,5.626144,1
1787925988.389267,7.098099,1
1787925989.352937,0.284560,0
1787925990.255929,0.016521,0
1787925991.267334,0.012767,0
1787925992.268302,0.048520,0
1787925993.269346,5.746634,1
1787925994.270346,8.406698,1
1787925995.271685,10.153796,1
1787925996.272995,10.191990,1
1787925997.274265,10.228798,1
1787925998.275445,10.252172,1
1787925999.276437,10.251931,1
